Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-02-23T03:41:10.431Z","Included","auto","No","0","9813","28672","1953","40438","0.03"
"2026-02-23T03:37:04.232Z","Included","auto","No","0","37291","150016","2188","189495","0.10"
"2026-02-23T03:24:49.494Z","Included","auto","No","0","31910","109056","4325","145291","0.09"
"2026-02-23T03:22:54.489Z","Included","auto","No","0","18135","53760","2693","74588","0.05"
"2026-02-23T03:18:51.888Z","Included","auto","No","0","29682","254464","6322","290468","0.14"
"2026-02-23T03:17:55.346Z","Included","auto","No","0","15829","76800","2575","95204","0.05"
"2026-02-23T03:05:12.603Z","Included","auto","No","0","3067","75776","646","79489","0.03"
"2026-02-23T03:03:30.839Z","Included","auto","No","0","6983","11264","526","18773","0.01"
"2026-02-23T02:59:10.181Z","Included","auto","No","0","2902","53248","1282","57432","0.02"
"2026-02-23T02:55:30.098Z","Included","auto","No","0","21543","78848","2361","102752","0.06"
"2026-02-23T02:53:48.975Z","Included","auto","No","0","2096","36864","1017","39977","0.02"
"2026-02-23T02:51:14.694Z","Included","auto","No","0","14241","145408","2935","162584","0.07"
"2026-02-23T02:51:05.381Z","Errored, No Charge","auto","No","0","924","23552","0","24476","0.01"
"2026-02-23T02:48:49.569Z","Included","auto","No","0","1119","22528","374","24021","0.01"
"2026-02-23T02:47:19.726Z","Included","auto","No","0","11757","29696","763","42216","0.03"
"2026-02-23T02:43:19.872Z","Included","auto","No","0","12313","29184","875","42372","0.03"
"2026-02-23T02:41:55.965Z","Included","auto","No","0","1472","47616","206","49294","0.01"
"2026-02-23T02:21:27.281Z","Included","auto","No","0","3349","91648","1024","96021","0.03"
"2026-02-23T02:14:35.354Z","Included","auto","No","0","45603","125440","4200","175243","0.11"
"2026-02-23T02:14:03.307Z","Errored, No Charge","auto","No","0","1886","35840","0","37726","0.01"
"2026-02-23T02:12:34.597Z","Included","auto","No","0","26286","94720","2928","123934","0.07"
"2026-02-23T02:07:08.145Z","Included","auto","No","0","16492","111104","1900","129496","0.06"
"2026-02-23T02:07:01.349Z","Errored, No Charge","auto","No","0","382","17408","0","17790","0.005"
"2026-02-23T02:06:55.132Z","Errored, No Charge","auto","No","0","6526","11264","0","17790","0.01"
